,ID,Reason for absence,Month of absence,Day of the week,Seasons,Transportation expense,Distance from Residence to Work,Service time,Age,Work load Average/day ,Hit target,Disciplinary failure,Education,Son,Social drinker,Social smoker,Pet,Weight,Height,Body mass index,Absenteeism time in hours,Month Groups
382,24,23,2,3,2,246,25,16,41,251.818,96,0,1,0,1,0,0,67,170,23,0,1
363,11,26,1,2,2,289,36,13,33,330.061,100,0,1,2,1,0,1,90,172,30,1,1
645,3,27,3,6,2,179,51,18,38,222.196,99,0,1,0,1,0,0,89,170,31,0,1
173,3,13,3,3,2,179,51,18,38,343.253,95,0,1,0,1,0,0,89,170,31,1,1
129,22,18,1,3,2,179,26,9,30,308.593,95,0,3,0,0,0,0,56,171,19,1,1
168,11,6,3,5,2,289,36,13,33,343.253,95,0,1,2,1,0,1,90,172,30,1,1
415,13,22,4,2,3,369,17,12,31,239.409,98,0,1,3,1,0,0,70,169,25,1,1
608,14,25,2,2,2,155,12,14,34,264.249,97,0,1,2,1,0,0,95,196,25,1,1
640,9,25,3,4,2,228,14,16,58,222.196,99,0,1,2,0,0,1,65,172,22,0,1
195,15,28,4,6,3,291,31,12,40,326.452,96,0,1,1,1,0,1,73,171,25,0,1
596,28,7,2,3,2,225,26,9,28,264.249,97,0,1,1,0,0,2,69,169,24,1,1
151,18,18,2,2,2,330,16,4,28,302.585,99,0,2,0,0,0,0,84,182,25,1,1
409,11,22,3,6,3,289,36,13,33,244.387,98,0,1,2,1,0,1,90,172,30,1,1
371,28,7,2,4,2,225,26,9,28,251.818,96,0,1,1,0,0,2,69,169,24,0,1
643,3,27,3,5,2,179,51,18,38,222.196,99,0,1,0,1,0,0,89,170,31,0,1
190,20,28,4,6,3,260,50,11,36,326.452,96,0,1,4,1,0,0,65,168,23,1,1
385,3,27,2,4,2,179,51,18,38,251.818,96,0,1,0,1,0,0,89,170,31,0,1
593,3,27,2,6,2,179,51,18,38,264.249,97,0,1,0,1,0,0,89,170,31,0,1
403,36,14,3,3,3,118,13,18,50,244.387,98,0,1,1,1,0,0,98,178,31,0,1
579,14,18,1,3,2,155,12,14,34,313.532,96,0,1,2,1,0,0,95,196,25,1,1
359,34,19,1,2,2,118,10,10,37,330.061,100,0,1,0,0,0,0,83,172,28,1,1
392,24,28,3,6,2,246,25,16,41,244.387,98,0,1,0,1,0,0,67,170,23,0,1
419,36,23,4,2,3,118,13,18,50,239.409,98,0,1,1,1,0,0,98,178,31,0,1
197,20,19,4,6,3,260,50,11,36,326.452,96,0,1,4,1,0,0,65,168,23,1,1
651,22,13,3,2,3,179,26,9,30,222.196,99,0,3,0,0,0,0,56,171,19,0,1
386,3,27,2,6,2,179,51,18,38,251.818,96,0,1,0,1,0,0,89,170,31,0,1
410,20,19,3,2,3,260,50,11,36,244.387,98,0,1,4,1,0,0,65,168,23,1,1
182,33,14,3,6,3,248,25,14,47,343.253,95,0,1,2,0,0,1,86,165,32,0,1
115,34,27,1,3,2,118,10,10,37,308.593,95,0,1,0,0,0,0,83,172,28,0,1
391,24,19,3,4,2,246,25,16,41,244.387,98,0,1,0,1,0,0,67,170,23,1,1
670,14,28,4,3,3,155,12,14,34,246.288,91,0,1,2,1,0,0,95,196,25,1,1
610,3,27,2,2,2,179,51,18,38,264.249,97,0,1,0,1,0,0,89,170,31,0,1
399,10,22,3,4,2,361,52,3,28,244.387,98,0,1,1,1,0,4,80,172,27,1,1
394,3,28,3,2,2,179,51,18,38,244.387,98,0,1,0,1,0,0,89,170,31,0,1
664,34,10,4,4,3,118,10,10,37,246.288,91,0,1,0,0,0,0,83,172,28,0,1
364,15,3,1,4,2,291,31,12,40,330.061,100,0,1,1,1,0,1,73,171,25,1,1
142,20,28,2,6,2,260,50,11,36,302.585,99,0,1,4,1,0,0,65,168,23,0,1
609,25,25,2,2,2,235,16,8,32,264.249,97,0,3,0,0,0,0,75,178,25,0,1
589,28,28,2,5,2,225,26,9,28,264.249,97,0,1,1,0,0,2,69,169,24,0,1
648,14,13,3,4,3,155,12,14,34,222.196,99,0,1,2,1,0,0,95,196,25,1,1
368,3,28,1,6,2,179,51,18,38,330.061,100,0,1,0,1,0,0,89,170,31,0,1
118,27,23,1,5,2,184,42,7,27,308.593,95,0,1,0,0,0,0,58,167,21,0,1
169,17,8,3,5,2,179,22,17,40,343.253,95,0,2,2,0,1,0,63,170,22,1,1
406,24,0,3,5,3,246,25,16,41,244.387,98,1,1,0,1,0,0,67,170,23,0,1
588,3,27,2,4,2,179,51,18,38,264.249,97,0,1,0,1,0,0,89,170,31,0,1
393,20,28,3,6,2,260,50,11,36,244.387,98,0,1,4,1,0,0,65,168,23,1,1
178,28,11,3,4,3,225,26,9,28,343.253,95,0,1,1,0,0,2,69,169,24,1,1
590,3,27,2,5,2,179,51,18,38,264.249,97,0,1,0,1,0,0,89,170,31,0,1
198,11,19,4,3,3,289,36,13,33,326.452,96,0,1,2,1,0,1,90,172,30,1,1
638,3,27,3,3,2,179,51,18,38,222.196,99,0,1,0,1,0,0,89,170,31,0,1
570,22,12,1,2,2,179,26,9,30,313.532,96,0,3,0,0,0,0,56,171,19,1,1
144,31,11,2,2,2,388,15,9,50,302.585,99,0,1,0,0,0,0,76,178,24,1,1
125,34,27,1,5,2,118,10,10,37,308.593,95,0,1,0,0,0,0,83,172,28,0,1
148,22,23,2,3,2,179,26,9,30,302.585,99,0,3,0,0,0,0,56,171,19,0,1
141,6,23,2,5,2,189,29,13,33,302.585,99,0,1,2,0,0,2,69,167,25,1,1
155,19,28,3,3,2,291,50,12,32,343.253,95,0,1,0,1,0,0,65,169,23,0,1
422,20,28,4,6,3,260,50,11,36,239.409,98,0,1,4,1,0,0,65,168,23,1,1
375,3,27,2,2,2,179,51,18,38,251.818,96,0,1,0,1,0,0,89,170,31,0,1
387,24,10,2,6,2,246,25,16,41,251.818,96,0,1,0,1,0,0,67,170,23,1,1
135,28,23,1,3,2,225,26,9,28,308.593,95,0,1,1,0,0,2,69,169,24,0,1
411,24,28,3,3,3,246,25,16,41,244.387,98,0,1,0,1,0,0,67,170,23,0,1
360,14,23,1,2,2,155,12,14,34,330.061,100,0,1,2,1,0,0,95,196,25,0,1
592,29,28,2,6,2,225,15,15,41,264.249,97,0,4,2,1,0,2,94,182,28,0,1
667,28,19,4,2,3,225,26,9,28,246.288,91,0,1,1,0,0,2,69,169,24,1,1
164,17,11,3,2,2,179,22,17,40,343.253,95,0,2,2,0,1,0,63,170,22,1,1
379,3,27,2,6,2,179,51,18,38,251.818,96,0,1,0,1,0,0,89,170,31,0,1
595,3,27,2,2,2,179,51,18,38,264.249,97,0,1,0,1,0,0,89,170,31,0,1
362,14,23,1,3,2,155,12,14,34,330.061,100,0,1,2,1,0,0,95,196,25,1,1
634,3,10,3,2,2,179,51,18,38,222.196,99,0,1,0,1,0,0,89,170,31,1,1
623,3,27,3,4,2,179,51,18,38,222.196,99,0,1,0,1,0,0,89,170,31,0,1
189,28,28,4,6,3,225,26,9,28,326.452,96,0,1,1,0,0,2,69,169,24,0,1
577,17,18,1,6,2,179,22,17,40,313.532,96,0,2,2,0,1,0,63,170,22,0,1
154,6,19,2,5,2,189,29,13,33,302.585,99,0,1,2,0,0,2,69,167,25,1,1
612,3,27,2,3,2,179,51,18,38,264.249,97,0,1,0,1,0,0,89,170,31,0,1
574,22,13,1,2,2,179,26,9,30,313.532,96,0,3,0,0,0,0,56,171,19,0,1
139,3,11,2,4,2,179,51,18,38,302.585,99,0,1,0,1,0,0,89,170,31,1,1
668,25,16,4,3,3,235,16,8,32,246.288,91,0,3,0,0,0,0,75,178,25,0,1
414,18,26,4,6,3,330,16,4,28,239.409,98,0,2,0,0,0,0,84,182,25,1,1
113,28,23,1,4,2,225,26,9,28,308.593,95,0,1,1,0,0,2,69,169,24,0,1
624,28,27,3,5,2,225,26,9,28,222.196,99,0,1,1,0,0,2,69,169,24,0,1
367,3,28,1,4,2,179,51,18,38,330.061,100,0,1,0,1,0,0,89,170,31,0,1
602,3,27,2,6,2,179,51,18,38,264.249,97,0,1,0,1,0,0,89,170,31,0,1
598,3,27,2,5,2,179,51,18,38,264.249,97,0,1,0,1,0,0,89,170,31,0,1
365,5,26,1,2,2,235,20,13,43,330.061,100,0,1,1,1,0,0,106,167,38,1,1
149,27,23,2,3,2,184,42,7,27,302.585,99,0,1,0,0,0,0,58,167,21,1,1
174,28,23,3,4,2,225,26,9,28,343.253,95,0,1,1,0,0,2,69,169,24,0,1
585,3,13,2,3,2,179,51,18,38,264.249,97,0,1,0,1,0,0,89,170,31,1,1
656,10,19,4,3,3,361,52,3,28,246.288,91,0,1,1,1,0,4,80,172,27,1,1
124,34,27,1,4,2,118,10,10,37,308.593,95,0,1,0,0,0,0,83,172,28,0,1
671,28,19,4,5,3,225,26,9,28,246.288,91,0,1,1,0,0,2,69,169,24,1,1
666,22,27,4,6,3,179,26,9,30,246.288,91,0,3,0,0,0,0,56,171,19,0,1
140,14,28,2,5,2,155,12,14,34,302.585,99,0,1,2,1,0,0,95,196,25,0,1
576,32,10,1,5,2,289,48,29,49,313.532,96,0,1,0,0,0,2,108,172,36,1,1
117,28,27,1,4,2,225,26,9,28,308.593,95,0,1,1,0,0,2,69,169,24,0,1
389,3,27,2,6,2,179,51,18,38,251.818,96,0,1,0,1,0,0,89,170,31,0,1
145,31,1,2,3,2,388,15,9,50,302.585,99,0,1,0,0,0,0,76,178,24,1,1
421,26,28,4,6,3,300,26,13,43,239.409,98,0,1,2,1,1,1,77,175,25,1,1
629,10,19,3,2,2,361,52,3,28,222.196,99,0,1,1,1,0,4,80,172,27,1,1
405,1,0,3,5,3,235,11,14,37,244.387,98,1,3,1,0,0,1,88,172,29,0,1
175,28,11,3,2,3,225,26,9,28,343.253,95,0,1,1,0,0,2,69,169,24,1,1
402,36,23,3,6,3,118,13,18,50,244.387,98,0,1,1,1,0,0,98,178,31,0,1
395,1,22,3,2,2,235,11,14,37,244.387,98,0,3,1,0,0,1,88,172,29,1,1
653,13,22,3,4,3,369,17,12,31,222.196,99,0,1,3,1,0,0,70,169,25,1,1
613,33,23,2,3,2,248,25,14,47,264.249,97,0,1,2,0,0,1,86,165,32,0,1
183,28,28,3,2,3,225,26,9,28,343.253,95,0,1,1,0,0,2,69,169,24,0,1
616,3,27,2,5,2,179,51,18,38,264.249,97,0,1,0,1,0,0,89,170,31,0,1
177,28,11,3,3,3,225,26,9,28,343.253,95,0,1,1,0,0,2,69,169,24,1,1
157,30,19,3,3,2,157,27,6,29,343.253,95,0,1,0,1,1,0,75,185,22,0,1
584,3,27,1,6,2,179,51,18,38,313.532,96,0,1,0,1,0,0,89,170,31,0,1
423,3,28,4,2,3,179,51,18,38,239.409,98,0,1,0,1,0,0,89,170,31,1,1
153,28,23,2,4,2,225,26,9,28,302.585,99,0,1,1,0,0,2,69,169,24,0,1
390,34,18,3,3,2,118,10,10,37,244.387,98,0,1,0,0,0,0,83,172,28,1,1
420,36,13,4,4,3,118,13,18,50,239.409,98,0,1,1,1,0,0,98,178,31,1,1
136,11,22,1,5,2,289,36,13,33,308.593,95,0,1,2,1,0,1,90,172,30,0,1
611,28,7,2,2,2,225,26,9,28,264.249,97,0,1,1,0,0,2,69,169,24,0,1
607,3,27,2,6,2,179,51,18,38,264.249,97,0,1,0,1,0,0,89,170,31,0,1
194,24,14,4,6,3,246,25,16,41,326.452,96,0,1,0,1,0,0,67,170,23,1,1
152,18,23,2,3,2,330,16,4,28,302.585,99,0,2,0,0,0,0,84,182,25,0,1
633,22,27,3,6,2,179,26,9,30,222.196,99,0,3,0,0,0,0,56,171,19,0,1
160,20,13,3,4,2,260,50,11,36,343.253,95,0,1,4,1,0,0,65,168,23,1,1
361,1,13,1,3,2,235,11,14,37,330.061,100,0,3,1,0,0,1,88,172,29,0,1
663,10,23,4,3,3,361,52,3,28,246.288,91,0,1,1,1,0,4,80,172,27,0,1
573,17,25,1,6,2,179,22,17,40,313.532,96,0,2,2,0,1,0,63,170,22,0,1
156,20,19,3,3,2,260,50,11,36,343.253,95,0,1,4,1,0,0,65,168,23,1,1
412,3,28,4,4,3,179,51,18,38,239.409,98,0,1,0,1,0,0,89,170,31,1,1
594,12,19,2,2,2,233,51,1,31,264.249,97,0,2,1,1,0,8,68,178,21,0,1
116,14,18,1,3,2,155,12,14,34,308.593,95,0,1,2,1,0,0,95,196,25,1,1
372,11,22,2,6,2,289,36,13,33,251.818,96,0,1,2,1,0,1,90,172,30,0,1
166,20,26,3,2,2,260,50,11,36,343.253,95,0,1,4,1,0,0,65,168,23,1,1
400,13,0,3,4,2,369,17,12,31,244.387,98,1,1,3,1,0,0,70,169,25,0,1
654,28,13,4,2,3,225,26,9,28,246.288,91,0,1,1,0,0,2,69,169,24,1,1
617,25,25,2,6,2,235,16,8,32,264.249,97,0,3,0,0,0,0,75,178,25,0,1
659,22,27,4,6,3,179,26,9,30,246.288,91,0,3,0,0,0,0,56,171,19,0,1
162,33,14,3,6,2,248,25,14,47,343.253,95,0,1,2,0,0,1,86,165,32,0,1
575,17,25,1,4,2,179,22,17,40,313.532,96,0,2,2,0,1,0,63,170,22,0,1
193,15,23,4,6,3,291,31,12,40,326.452,96,0,1,1,1,0,1,73,171,25,0,1
147,28,23,2,3,2,225,26,9,28,302.585,99,0,1,1,0,0,2,69,169,24,0,1
639,11,23,3,4,2,289,36,13,33,222.196,99,0,1,2,1,0,1,90,172,30,1,1
120,28,27,1,6,2,225,26,9,28,308.593,95,0,1,1,0,0,2,69,169,24,0,1
583,3,27,1,5,2,179,51,18,38,313.532,96,0,1,0,1,0,0,89,170,31,0,1
635,33,13,3,2,2,248,25,14,47,222.196,99,0,1,2,0,0,1,86,165,32,0,1
377,3,10,2,5,2,179,51,18,38,251.818,96,0,1,0,1,0,0,89,170,31,1,1
358,28,23,1,4,2,225,26,9,28,330.061,100,0,1,1,0,0,2,69,169,24,1,1
196,33,28,4,6,3,248,25,14,47,326.452,96,0,1,2,0,0,1,86,165,32,1,1
649,3,27,3,4,3,179,51,18,38,222.196,99,0,1,0,1,0,0,89,170,31,0,1
655,34,10,4,2,3,118,10,10,37,246.288,91,0,1,0,0,0,0,83,172,28,1,1
202,1,7,4,6,3,235,11,14,37,326.452,96,0,3,1,0,0,1,88,172,29,0,1
121,34,27,1,2,2,118,10,10,37,308.593,95,0,1,0,0,0,0,83,172,28,0,1
126,34,27,1,6,2,118,10,10,37,308.593,95,0,1,0,0,0,0,83,172,28,0,1
172,7,14,3,2,2,279,5,14,39,343.253,95,0,1,2,1,1,0,68,168,24,1,1
641,3,27,3,4,2,179,51,18,38,222.196,99,0,1,0,1,0,0,89,170,31,0,1
398,3,28,3,2,2,179,51,18,38,244.387,98,0,1,0,1,0,0,89,170,31,1,1
130,11,18,1,3,2,289,36,13,33,308.593,95,0,1,2,1,0,1,90,172,30,1,1
578,22,27,1,2,2,179,26,9,30,313.532,96,0,3,0,0,0,0,56,171,19,0,1
185,28,23,4,4,3,225,26,9,28,326.452,96,0,1,1,0,0,2,69,169,24,0,1
646,3,27,3,3,3,179,51,18,38,222.196,99,0,1,0,1,0,0,89,170,31,0,1
401,1,21,3,5,2,235,11,14,37,244.387,98,0,3,1,0,0,1,88,172,29,1,1
628,25,25,3,2,2,235,16,8,32,222.196,99,0,3,0,0,0,0,75,178,25,0,1
657,33,19,4,4,3,248,25,14,47,246.288,91,0,1,2,0,0,1,86,165,32,1,1
176,22,13,3,2,3,179,26,9,30,343.253,95,0,3,0,0,0,0,56,171,19,0,1
167,14,13,3,3,2,155,12,14,34,343.253,95,0,1,2,1,0,0,95,196,25,1,1
374,3,23,2,6,2,179,51,18,38,251.818,96,0,1,0,1,0,0,89,170,31,0,1
163,20,13,3,6,2,260,50,11,36,343.253,95,0,1,4,1,0,0,65,168,23,1,1
636,3,27,3,2,2,179,51,18,38,222.196,99,0,1,0,1,0,0,89,170,31,0,1
586,28,23,2,3,2,225,26,9,28,264.249,97,0,1,1,0,0,2,69,169,24,0,1
632,3,27,3,5,2,179,51,18,38,222.196,99,0,1,0,1,0,0,89,170,31,0,1
601,17,23,2,6,2,179,22,17,40,264.249,97,0,2,2,0,1,0,63,170,22,0,1
127,34,27,1,2,2,118,10,10,37,308.593,95,0,1,0,0,0,0,83,172,28,0,1
619,33,23,3,2,2,248,25,14,47,222.196,99,0,1,2,0,0,1,86,165,32,0,1
652,11,19,3,2,3,289,36,13,33,222.196,99,0,1,2,1,0,1,90,172,30,1,1
631,3,27,3,4,2,179,51,18,38,222.196,99,0,1,0,1,0,0,89,170,31,0,1
581,3,27,1,4,2,179,51,18,38,313.532,96,0,1,0,1,0,0,89,170,31,0,1
171,28,23,3,6,2,225,26,9,28,343.253,95,0,1,1,0,0,2,69,169,24,0,1
630,3,13,3,3,2,179,51,18,38,222.196,99,0,1,0,1,0,0,89,170,31,1,1
161,22,13,3,5,2,179,26,9,30,343.253,95,0,3,0,0,0,0,56,171,19,1,1
201,11,13,4,5,3,289,36,13,33,326.452,96,0,1,2,1,0,1,90,172,30,1,1
134,34,27,1,2,2,118,10,10,37,308.593,95,0,1,0,0,0,0,83,172,28,0,1
170,20,28,3,6,2,260,50,11,36,343.253,95,0,1,4,1,0,0,65,168,23,1,1
615,3,27,2,4,2,179,51,18,38,264.249,97,0,1,0,1,0,0,89,170,31,0,1
572,17,25,1,5,2,179,22,17,40,313.532,96,0,2,2,0,1,0,63,170,22,0,1
669,22,27,4,6,3,179,26,9,30,246.288,91,0,3,0,0,0,0,56,171,19,0,1
599,28,25,2,5,2,225,26,9,28,264.249,97,0,1,1,0,0,2,69,169,24,0,1
603,12,12,2,4,2,233,51,1,31,264.249,97,0,2,1,1,0,8,68,178,21,0,1
396,17,22,3,3,2,179,22,17,40,244.387,98,0,2,2,0,1,0,63,170,22,1,1
150,28,25,2,5,2,225,26,9,28,302.585,99,0,1,1,0,0,2,69,169,24,0,1
424,34,11,4,4,3,118,10,10,37,239.409,98,0,1,0,0,0,0,83,172,28,0,1
647,16,23,3,4,3,118,15,24,46,222.196,99,0,1,2,1,1,0,75,175,25,1,1
662,36,23,4,3,3,118,13,18,50,246.288,91,0,1,1,1,0,0,98,178,31,0,1
114,34,19,1,2,2,118,10,10,37,308.593,95,0,1,0,0,0,0,83,172,28,0,1
165,14,1,3,2,2,155,12,14,34,343.253,95,0,1,2,1,0,0,95,196,25,1,1
416,33,26,4,2,3,248,25,14,47,239.409,98,0,1,2,0,0,1,86,165,32,1,1
397,23,22,3,3,2,378,49,11,36,244.387,98,0,1,2,0,1,4,65,174,21,1,1
418,3,28,4,4,3,179,51,18,38,239.409,98,0,1,0,1,0,0,89,170,31,1,1
370,3,27,2,4,2,179,51,18,38,251.818,96,0,1,0,1,0,0,89,170,31,0,1
366,36,26,1,2,2,118,13,18,50,330.061,100,0,1,1,1,0,0,98,178,31,1,1
383,15,23,2,3,2,291,31,12,40,251.818,96,0,1,1,1,0,1,73,171,25,0,1
200,23,19,4,4,3,378,49,11,36,326.452,96,0,1,2,0,1,4,65,174,21,1,1
614,28,25,2,3,2,225,26,9,28,264.249,97,0,1,1,0,0,2,69,169,24,0,1
187,24,13,4,4,3,246,25,16,41,326.452,96,0,1,0,1,0,0,67,170,23,1,1
626,28,25,3,5,2,225,26,9,28,222.196,99,0,1,1,0,0,2,69,169,24,0,1
622,9,12,3,3,2,228,14,16,58,222.196,99,0,1,2,0,0,1,65,172,22,1,1
388,3,27,2,4,2,179,51,18,38,251.818,96,0,1,0,1,0,0,89,170,31,0,1
673,22,27,4,6,3,179,26,9,30,246.288,91,0,3,0,0,0,0,56,171,19,0,1
133,34,27,1,5,2,118,10,10,37,308.593,95,0,1,0,0,0,0,83,172,28,0,1
600,22,13,2,5,2,179,26,9,30,264.249,97,0,3,0,0,0,0,56,171,19,0,1
184,15,28,4,4,3,291,31,12,40,326.452,96,0,1,1,1,0,1,73,171,25,0,1
373,20,28,2,6,2,260,50,11,36,251.818,96,0,1,4,1,0,0,65,168,23,0,1
369,34,28,2,3,2,118,10,10,37,251.818,96,0,1,0,0,0,0,83,172,28,0,1
