,Reason for absence,Day of the week,Seasons,Work load Average/day ,Disciplinary failure,Son,Social drinker,Pet,Body mass index,Month Groups,Absenteeism time in hours
609,25,2,2,264.249,0,0,0,0,25,1,0
589,28,5,2,264.249,0,1,0,2,24,1,0
648,13,4,3,222.196,0,2,1,0,25,1,1
368,28,6,2,330.061,0,0,1,0,31,1,0
118,23,5,2,308.593,0,0,0,0,21,1,0
169,8,5,2,343.253,0,2,0,0,22,1,0
406,0,5,3,244.387,1,0,1,0,23,1,0
588,27,4,2,264.249,0,0,1,0,31,1,0
393,28,6,2,244.387,0,4,1,0,23,1,0
178,11,4,3,343.253,0,1,0,2,24,1,1
590,27,5,2,264.249,0,0,1,0,31,1,0
198,19,3,3,326.452,0,2,1,1,30,1,0
638,27,3,2,222.196,0,0,1,0,31,1,0
570,12,2,2,313.532,0,0,0,0,19,1,1
144,11,2,2,302.585,0,0,0,0,24,1,0
125,27,5,2,308.593,0,0,0,0,28,1,0
148,23,3,2,302.585,0,0,0,0,19,1,0
141,23,5,2,302.585,0,2,0,2,25,1,0
155,28,3,2,343.253,0,0,1,0,23,1,0
422,28,6,3,239.409,0,4,1,0,23,1,0
375,27,2,2,251.818,0,0,1,0,31,1,0
387,10,6,2,251.818,0,0,1,0,23,1,1
135,23,3,2,308.593,0,1,0,2,24,1,0
411,28,3,3,244.387,0,0,1,0,23,1,0
360,23,2,2,330.061,0,2,1,0,25,1,0
592,28,6,2,264.249,0,2,1,2,28,1,0
667,19,2,3,246.288,0,1,0,2,24,1,0
164,11,2,2,343.253,0,2,0,0,22,1,1
379,27,6,2,251.818,0,0,1,0,31,1,0
595,27,2,2,264.249,0,0,1,0,31,1,0
362,23,3,2,330.061,0,2,1,0,25,1,0
634,10,2,2,222.196,0,0,1,0,31,1,0
623,27,4,2,222.196,0,0,1,0,31,1,0
189,28,6,3,326.452,0,1,0,2,24,1,0
577,18,6,2,313.532,0,2,0,0,22,1,0
154,19,5,2,302.585,0,2,0,2,25,1,0
612,27,3,2,264.249,0,0,1,0,31,1,0
574,13,2,2,313.532,0,0,0,0,19,1,0
139,11,4,2,302.585,0,0,1,0,31,1,0
668,16,3,3,246.288,0,0,0,0,25,1,0
414,26,6,3,239.409,0,0,0,0,25,1,0
113,23,4,2,308.593,0,1,0,2,24,1,0
624,27,5,2,222.196,0,1,0,2,24,1,0
367,28,4,2,330.061,0,0,1,0,31,1,0
602,27,6,2,264.249,0,0,1,0,31,1,0
598,27,5,2,264.249,0,0,1,0,31,1,0
365,26,2,2,330.061,0,1,1,0,38,1,0
149,23,3,2,302.585,0,0,0,0,21,1,0
174,23,4,2,343.253,0,1,0,2,24,1,0
585,13,3,2,264.249,0,0,1,0,31,1,0
656,19,3,3,246.288,0,1,1,4,27,1,0
124,27,4,2,308.593,0,0,0,0,28,1,0
671,19,5,3,246.288,0,1,0,2,24,1,0
666,27,6,3,246.288,0,0,0,0,19,1,0
140,28,5,2,302.585,0,2,1,0,25,1,0
576,10,5,2,313.532,0,0,0,2,36,1,0
117,27,4,2,308.593,0,1,0,2,24,1,0
389,27,6,2,251.818,0,0,1,0,31,1,0
145,1,3,2,302.585,0,0,0,0,24,1,0
421,28,6,3,239.409,0,2,1,1,25,1,0
629,19,2,2,222.196,0,1,1,4,27,1,0
405,0,5,3,244.387,1,1,0,1,29,1,0
175,11,2,3,343.253,0,1,0,2,24,1,0
402,23,6,3,244.387,0,1,1,0,31,1,0
395,22,2,2,244.387,0,1,0,1,29,1,0
653,22,4,3,222.196,0,3,1,0,25,1,0
613,23,3,2,264.249,0,2,0,1,32,1,0
183,28,2,3,343.253,0,1,0,2,24,1,0
616,27,5,2,264.249,0,0,1,0,31,1,0
177,11,3,3,343.253,0,1,0,2,24,1,0
157,19,3,2,343.253,0,0,1,0,22,1,0
584,27,6,2,313.532,0,0,1,0,31,1,0
423,28,2,3,239.409,0,0,1,0,31,1,0
153,23,4,2,302.585,0,1,0,2,24,1,0
390,18,3,2,244.387,0,0,0,0,28,1,0
420,13,4,3,239.409,0,1,1,0,31,1,1
136,22,5,2,308.593,0,2,1,1,30,1,0
611,7,2,2,264.249,0,1,0,2,24,1,0
607,27,6,2,264.249,0,0,1,0,31,1,0
194,14,6,3,326.452,0,0,1,0,23,1,0
152,23,3,2,302.585,0,0,0,0,25,1,0
633,27,6,2,222.196,0,0,0,0,19,1,0
160,13,4,2,343.253,0,4,1,0,23,1,0
361,13,3,2,330.061,0,1,0,1,29,1,0
663,23,3,3,246.288,0,1,1,4,27,1,0
573,25,6,2,313.532,0,2,0,0,22,1,0
156,19,3,2,343.253,0,4,1,0,23,1,0
412,28,4,3,239.409,0,0,1,0,31,1,0
594,19,2,2,264.249,0,1,1,8,21,1,0
116,18,3,2,308.593,0,2,1,0,25,1,0
372,22,6,2,251.818,0,2,1,1,30,1,0
166,26,2,2,343.253,0,4,1,0,23,1,1
400,0,4,2,244.387,1,3,1,0,25,1,0
654,13,2,3,246.288,0,1,0,2,24,1,0
617,25,6,2,264.249,0,0,0,0,25,1,0
659,27,6,3,246.288,0,0,0,0,19,1,0
162,14,6,2,343.253,0,2,0,1,32,1,0
575,25,4,2,313.532,0,2,0,0,22,1,0
193,23,6,3,326.452,0,1,1,1,25,1,0
147,23,3,2,302.585,0,1,0,2,24,1,0
639,23,4,2,222.196,0,2,1,1,30,1,0
120,27,6,2,308.593,0,1,0,2,24,1,0
583,27,5,2,313.532,0,0,1,0,31,1,0
635,13,2,2,222.196,0,2,0,1,32,1,0
377,10,5,2,251.818,0,0,1,0,31,1,0
358,23,4,2,330.061,0,1,0,2,24,1,0
196,28,6,3,326.452,0,2,0,1,32,1,0
649,27,4,3,222.196,0,0,1,0,31,1,0
655,10,2,3,246.288,0,0,0,0,28,1,0
202,7,6,3,326.452,0,1,0,1,29,1,0
121,27,2,2,308.593,0,0,0,0,28,1,0
126,27,6,2,308.593,0,0,0,0,28,1,0
172,14,2,2,343.253,0,2,1,0,24,1,0
641,27,4,2,222.196,0,0,1,0,31,1,0
398,28,2,2,244.387,0,0,1,0,31,1,1
130,18,3,2,308.593,0,2,1,1,30,1,0
578,27,2,2,313.532,0,0,0,0,19,1,0
185,23,4,3,326.452,0,1,0,2,24,1,0
646,27,3,3,222.196,0,0,1,0,31,1,0
401,21,5,2,244.387,0,1,0,1,29,1,0
628,25,2,2,222.196,0,0,0,0,25,1,0
657,19,4,3,246.288,0,2,0,1,32,1,0
176,13,2,3,343.253,0,0,0,0,19,1,0
167,13,3,2,343.253,0,2,1,0,25,1,0
374,23,6,2,251.818,0,0,1,0,31,1,0
163,13,6,2,343.253,0,4,1,0,23,1,1
636,27,2,2,222.196,0,0,1,0,31,1,0
586,23,3,2,264.249,0,1,0,2,24,1,0
632,27,5,2,222.196,0,0,1,0,31,1,0
601,23,6,2,264.249,0,2,0,0,22,1,0
127,27,2,2,308.593,0,0,0,0,28,1,0
619,23,2,2,222.196,0,2,0,1,32,1,0
652,19,2,3,222.196,0,2,1,1,30,1,1
631,27,4,2,222.196,0,0,1,0,31,1,0
581,27,4,2,313.532,0,0,1,0,31,1,0
171,23,6,2,343.253,0,1,0,2,24,1,0
630,13,3,2,222.196,0,0,1,0,31,1,0
161,13,5,2,343.253,0,0,0,0,19,1,0
201,13,5,3,326.452,0,2,1,1,30,1,1
134,27,2,2,308.593,0,0,0,0,28,1,0
170,28,6,2,343.253,0,4,1,0,23,1,0
615,27,4,2,264.249,0,0,1,0,31,1,0
572,25,5,2,313.532,0,2,0,0,22,1,0
669,27,6,3,246.288,0,0,0,0,19,1,0
599,25,5,2,264.249,0,1,0,2,24,1,0
603,12,4,2,264.249,0,1,1,8,21,1,0
396,22,3,2,244.387,0,2,0,0,22,1,0
150,25,5,2,302.585,0,1,0,2,24,1,0
424,11,4,3,239.409,0,0,0,0,28,1,0
647,23,4,3,222.196,0,2,1,0,25,1,0
662,23,3,3,246.288,0,1,1,0,31,1,0
114,19,2,2,308.593,0,0,0,0,28,1,0
165,1,2,2,343.253,0,2,1,0,25,1,1
416,26,2,3,239.409,0,2,0,1,32,1,0
397,22,3,2,244.387,0,2,0,4,21,1,0
418,28,4,3,239.409,0,0,1,0,31,1,0
370,27,4,2,251.818,0,0,1,0,31,1,0
366,26,2,2,330.061,0,1,1,0,31,1,0
383,23,3,2,251.818,0,1,1,1,25,1,0
200,19,4,3,326.452,0,2,0,4,21,1,0
614,25,3,2,264.249,0,1,0,2,24,1,0
187,13,4,3,326.452,0,0,1,0,23,1,1
626,25,5,2,222.196,0,1,0,2,24,1,0
622,12,3,2,222.196,0,2,0,1,22,1,1
388,27,4,2,251.818,0,0,1,0,31,1,0
673,27,6,3,246.288,0,0,0,0,19,1,0
133,27,5,2,308.593,0,0,0,0,28,1,0
600,13,5,2,264.249,0,0,0,0,19,1,0
184,28,4,3,326.452,0,1,1,1,25,1,0
373,28,6,2,251.818,0,4,1,0,23,1,0
369,28,3,2,251.818,0,0,0,0,28,1,0
