,ID,Reason for absence,Month of absence,Day of the week,Seasons,Transportation expense,Distance from Residence to Work,Service time,Age,Work load Average/day ,Hit target,Disciplinary failure,Education,Son,Social drinker,Social smoker,Pet,Weight,Height,Body mass index,Absenteeism time in hours,Month Groups
4,11,23,7,5,1,289,36,13,33,239.554,97,0,1,2,1,0,1,90,172,30,0,2
441,34,23,6,2,3,118,10,10,37,253.957,95,0,1,0,0,0,0,83,172,28,0,2
32,1,23,8,5,1,235,11,14,37,205.917,92,0,3,1,0,0,1,88,172,29,0,2
699,15,28,5,5,3,291,31,12,40,237.656,99,0,1,1,1,0,1,73,171,25,0,2
226,14,23,6,2,3,155,12,14,34,377.55,94,0,1,2,1,0,0,95,196,25,0,2
454,36,23,6,4,1,118,13,18,50,253.957,95,0,1,1,1,0,0,98,178,31,0,2
447,15,13,6,2,3,291,31,12,40,253.957,95,0,1,1,1,0,1,73,171,25,1,2
713,22,27,6,6,3,179,26,9,30,275.089,96,0,3,0,0,0,0,56,171,19,0,2
735,11,14,7,3,1,289,36,13,33,264.604,93,0,1,2,1,0,1,90,172,30,0,2
234,32,28,6,2,1,289,48,29,49,377.55,94,0,1,0,0,0,2,108,172,36,0,2
680,15,28,5,5,3,291,31,12,40,237.656,99,0,1,1,1,0,1,73,171,25,0,2
228,36,13,6,4,3,118,13,18,50,377.55,94,0,1,1,1,0,0,98,178,31,0,2
208,28,19,5,3,3,225,26,9,28,378.884,92,0,1,1,0,0,2,69,169,24,0,2
472,3,28,7,3,1,179,51,18,38,230.29,92,0,1,0,1,0,0,89,170,31,0,2
204,11,13,5,4,3,289,36,13,33,378.884,92,0,1,2,1,0,1,90,172,30,0,2
442,3,28,6,2,3,179,51,18,38,253.957,95,0,1,0,1,0,0,89,170,31,0,2
23,20,28,8,6,1,260,50,11,36,205.917,92,0,1,4,1,0,0,65,168,23,0,2
675,29,19,5,4,3,225,15,15,41,237.656,99,0,4,2,1,0,2,94,182,28,0,2
492,34,28,8,3,1,118,10,10,37,249.797,93,0,1,0,0,0,0,83,172,28,0,2
245,30,25,7,2,1,157,27,6,29,275.312,98,0,1,0,1,1,0,75,185,22,0,2
39,20,23,8,6,1,260,50,11,36,205.917,92,0,1,4,1,0,0,65,168,23,0,2
697,18,10,5,5,3,330,16,4,28,237.656,99,0,2,0,0,0,0,84,182,25,0,2
211,3,12,5,3,3,179,51,18,38,378.884,92,0,1,0,1,0,0,89,170,31,0,2
258,20,28,8,6,1,260,50,11,36,265.615,94,0,1,4,1,0,0,65,168,23,0,2
678,5,26,5,4,3,235,20,13,43,237.656,99,0,1,1,1,0,0,106,167,38,0,2
207,3,18,5,3,3,179,51,18,38,378.884,92,0,1,0,1,0,0,89,170,31,0,2
464,18,25,7,6,1,330,16,4,28,230.29,92,0,2,0,0,0,0,84,182,25,0,2
481,17,25,8,2,1,179,22,17,40,249.797,93,0,2,2,0,1,0,63,170,22,0,2
3,7,7,7,5,1,279,5,14,39,239.554,97,0,1,2,1,1,0,68,168,24,0,2
269,27,6,8,4,1,184,42,7,27,265.615,94,0,1,0,0,0,0,58,167,21,0,2
217,3,11,5,3,3,179,51,18,38,378.884,92,0,1,0,1,0,0,89,170,31,0,2
452,3,28,6,2,1,179,51,18,38,253.957,95,0,1,0,1,0,0,89,170,31,0,2
714,2,0,6,2,3,235,29,12,48,275.089,96,1,1,1,0,1,5,88,163,33,0,2
681,29,14,5,5,3,225,15,15,41,237.656,99,0,4,2,1,0,2,94,182,28,0,2
719,22,13,6,2,1,179,26,9,30,275.089,96,0,3,0,0,0,0,56,171,19,0,2
213,7,0,5,4,3,279,5,14,39,378.884,92,1,1,2,1,1,0,68,168,24,0,2
482,24,28,8,3,1,246,25,16,41,249.797,93,0,1,0,1,0,0,67,170,23,0,2
244,18,1,7,3,1,330,16,4,28,275.312,98,0,2,0,0,0,0,84,182,25,0,2
34,3,23,8,2,1,179,51,18,38,205.917,92,0,1,0,1,0,0,89,170,31,0,2
7,20,23,7,6,1,260,50,11,36,239.554,97,0,1,4,1,0,0,65,168,23,0,2
490,1,23,8,3,1,235,11,14,37,249.797,93,0,3,1,0,0,1,88,172,29,0,2
429,3,28,5,4,3,179,51,18,38,246.074,99,0,1,0,1,0,0,89,170,31,0,2
255,9,18,8,3,1,228,14,16,58,265.615,94,0,1,2,0,0,1,65,172,22,0,2
247,11,26,7,4,1,289,36,13,33,275.312,98,0,1,2,1,0,1,90,172,30,0,2
710,23,22,6,5,3,378,49,11,36,275.089,96,0,1,2,0,1,4,65,174,21,0,2
715,21,0,6,2,3,268,11,8,33,275.089,96,1,2,0,0,0,0,79,178,25,0,2
253,30,19,8,6,1,157,27,6,29,265.615,94,0,1,0,1,1,0,75,185,22,0,2
8,14,19,7,2,1,155,12,14,34,239.554,97,0,1,2,1,0,0,95,196,25,1,2
13,3,11,7,4,1,179,51,18,38,239.554,97,0,1,0,1,0,0,89,170,31,0,2
223,15,23,6,5,3,291,31,12,40,377.55,94,0,1,1,1,0,1,73,171,25,0,2
702,14,23,5,4,3,155,12,14,34,237.656,99,0,1,2,1,0,0,95,196,25,0,2
450,3,28,6,2,3,179,51,18,38,253.957,95,0,1,0,1,0,0,89,170,31,0,2
17,3,21,7,2,1,179,51,18,38,239.554,97,0,1,0,1,0,0,89,170,31,0,2
485,5,26,8,3,1,235,20,13,43,249.797,93,0,1,1,1,0,0,106,167,38,0,2
236,14,19,7,3,1,155,12,14,34,275.312,98,0,1,2,1,0,0,95,196,25,1,2
707,22,27,6,4,3,179,26,9,30,275.089,96,0,3,0,0,0,0,56,171,19,0,2
453,28,23,6,4,1,225,26,9,28,253.957,95,0,1,1,0,0,2,69,169,24,0,2
692,14,10,5,2,3,155,12,14,34,237.656,99,0,1,2,1,0,0,95,196,25,1,2
717,22,13,6,5,3,179,26,9,30,275.089,96,0,3,0,0,0,0,56,171,19,0,2
227,24,10,6,2,3,246,25,16,41,377.55,94,0,1,0,1,0,0,67,170,23,0,2
218,36,13,5,4,3,118,13,18,50,378.884,92,0,1,1,1,0,0,98,178,31,1,2
426,33,23,5,4,3,248,25,14,47,246.074,99,0,1,2,0,0,1,86,165,32,0,2
214,18,0,5,4,3,330,16,4,28,378.884,92,1,2,0,0,0,0,84,182,25,0,2
695,17,10,5,4,3,179,22,17,40,237.656,99,0,2,2,0,1,0,63,170,22,0,2
493,15,28,8,5,1,291,31,12,40,249.797,93,0,1,1,1,0,1,73,171,25,0,2
696,28,6,5,4,3,225,26,9,28,237.656,99,0,1,1,0,0,2,69,169,24,0,2
687,34,28,5,3,3,118,10,10,37,237.656,99,0,1,0,0,0,0,83,172,28,0,2
733,28,22,7,4,1,225,26,9,28,264.604,93,0,1,1,0,0,2,69,169,24,0,2
726,12,19,7,6,1,233,51,1,31,264.604,93,0,2,1,1,0,8,68,178,21,0,2
488,17,25,8,3,1,179,22,17,40,249.797,93,0,2,2,0,1,0,63,170,22,0,2
222,24,10,6,3,3,246,25,16,41,377.55,94,0,1,0,1,0,0,67,170,23,1,2
212,11,13,5,4,3,289,36,13,33,378.884,92,0,1,2,1,0,1,90,172,30,1,2
252,11,19,8,6,1,289,36,13,33,265.615,94,0,1,2,1,0,1,90,172,30,0,2
21,3,11,8,2,1,179,51,18,38,205.917,92,0,1,0,1,0,0,89,170,31,0,2
221,10,22,6,2,3,361,52,3,28,377.55,94,0,1,1,1,0,4,80,172,27,0,2
701,10,7,5,2,3,361,52,3,28,237.656,99,0,1,1,1,0,4,80,172,27,0,2
479,7,23,7,5,1,279,5,14,39,230.29,92,0,1,2,1,1,0,68,168,24,0,2
729,9,6,7,3,1,228,14,16,58,264.604,93,0,1,2,0,0,1,65,172,22,1,2
685,36,23,5,2,3,118,13,18,50,237.656,99,0,1,1,1,0,0,98,178,31,0,2
689,22,27,5,4,3,179,26,9,30,237.656,99,0,3,0,0,0,0,56,171,19,0,2
448,3,28,6,2,3,179,51,18,38,253.957,95,0,1,0,1,0,0,89,170,31,1,2
37,19,11,8,5,1,291,50,12,32,205.917,92,0,1,0,1,0,0,65,169,23,0,2
476,5,26,7,2,1,235,20,13,43,230.29,92,0,1,1,1,0,0,106,167,38,0,2
722,34,8,6,6,1,118,10,10,37,275.089,96,0,1,0,0,0,0,83,172,28,0,2
1,36,0,7,3,1,118,13,18,50,239.554,97,1,1,1,1,0,0,98,178,31,0,2
216,31,0,5,4,3,388,15,9,50,378.884,92,1,1,0,0,0,0,76,178,24,0,2
468,26,15,7,2,1,300,26,13,43,230.29,92,0,1,2,1,1,1,77,175,25,0,2
449,24,28,6,3,3,246,25,16,41,253.957,95,0,1,0,1,0,0,67,170,23,0,2
470,24,28,7,3,1,246,25,16,41,230.29,92,0,1,0,1,0,0,67,170,23,0,2
267,1,19,8,5,1,235,11,14,37,265.615,94,0,3,1,0,0,1,88,172,29,0,2
263,36,13,8,5,1,118,13,18,50,265.615,94,0,1,1,1,0,0,98,178,31,0,2
435,28,25,5,4,3,225,26,9,28,246.074,99,0,1,1,0,0,2,69,169,24,0,2
251,20,0,7,5,1,260,50,11,36,275.312,98,1,1,4,1,0,0,65,168,23,0,2
700,22,27,5,6,3,179,26,9,30,237.656,99,0,3,0,0,0,0,56,171,19,0,2
238,34,5,7,6,1,118,10,10,37,275.312,98,0,1,0,0,0,0,83,172,28,0,2
712,12,19,6,6,3,233,51,1,31,275.089,96,0,2,1,1,0,8,68,178,21,0,2
708,34,26,6,6,3,118,10,10,37,275.089,96,0,1,0,0,0,0,83,172,28,0,2
440,22,23,5,4,3,179,26,9,30,246.074,99,0,3,0,0,0,0,56,171,19,0,2
736,1,11,7,3,1,235,11,14,37,264.604,93,0,3,1,0,0,1,88,172,29,0,2
20,18,10,8,4,1,330,16,4,28,205.917,92,0,2,0,0,0,0,84,182,25,0,2
686,36,5,5,3,3,118,13,18,50,237.656,99,0,1,1,1,0,0,98,178,31,0,2
235,28,28,6,5,1,225,26,9,28,377.55,94,0,1,1,0,0,2,69,169,24,0,2
425,5,13,5,2,3,235,20,13,43,246.074,99,0,1,1,1,0,0,106,167,38,1,2
14,3,23,7,4,1,179,51,18,38,239.554,97,0,1,0,1,0,0,89,170,31,0,2
256,26,13,8,5,1,300,26,13,43,265.615,94,0,1,2,1,1,1,77,175,25,0,2
677,34,8,5,4,3,118,10,10,37,237.656,99,0,1,0,0,0,0,83,172,28,0,2
266,36,23,8,5,1,118,13,18,50,265.615,94,0,1,1,1,0,0,98,178,31,0,2
