,Reason for absence,Day of the week,Seasons,Work load Average/day ,Disciplinary failure,Son,Social drinker,Pet,Body mass index,Month Groups,Absenteeism time in hours
476,26,2,1,230.29,0,1,1,0,38,2,1
722,8,6,1,275.089,0,0,0,0,28,2,0
1,0,3,1,239.554,1,1,1,0,31,2,0
216,0,4,3,378.884,1,0,0,0,24,2,0
468,15,2,1,230.29,0,2,1,1,25,2,1
449,28,3,3,253.957,0,0,1,0,23,2,0
470,28,3,1,230.29,0,0,1,0,23,2,0
267,19,5,1,265.615,0,1,0,1,29,2,1
263,13,5,1,265.615,0,1,1,0,31,2,0
435,25,4,3,246.074,0,1,0,2,24,2,0
251,0,5,1,275.312,1,4,1,0,23,2,0
700,27,6,3,237.656,0,0,0,0,19,2,0
238,5,6,1,275.312,0,0,0,0,28,2,1
712,19,6,3,275.089,0,1,1,8,21,2,1
708,26,6,3,275.089,0,0,0,0,28,2,1
440,23,4,3,246.074,0,0,0,0,19,2,0
736,11,3,1,264.604,0,1,0,1,29,2,1
20,10,4,1,205.917,0,0,0,0,25,2,1
686,5,3,3,237.656,0,1,1,0,31,2,0
235,28,5,1,377.55,0,1,0,2,24,2,0
425,13,2,3,246.074,0,1,1,0,38,2,1
14,23,4,1,239.554,0,0,1,0,31,2,1
256,13,5,1,265.615,0,2,1,1,25,2,0
677,8,4,3,237.656,0,0,0,0,28,2,0
266,23,5,1,265.615,0,1,1,0,31,2,0
