,Reason for absence,Day of the week,Seasons,Work load Average/day ,Disciplinary failure,Son,Social drinker,Pet,Body mass index,Month Groups,Absenteeism time in hours
82,13,5,4,306.345,0,0,1,0,31,3,1
293,0,6,4,265.017,1,1,1,0,31,3,0
316,23,5,4,265.017,0,1,1,0,31,3,0
355,28,2,2,236.629,0,0,1,0,22,3,0
91,21,4,4,306.345,0,2,0,0,22,3,1
519,26,3,4,284.853,0,3,1,0,25,3,1
520,28,4,4,284.853,0,0,1,0,31,3,0
273,0,5,1,294.217,1,1,1,0,38,3,0
81,23,4,4,306.345,0,1,0,2,24,3,0
298,28,4,4,265.017,0,0,1,0,31,3,0
340,28,2,4,236.629,0,0,1,0,31,3,0
275,28,3,1,294.217,0,1,1,1,25,3,0
335,15,6,4,284.031,0,4,1,0,23,3,1
66,23,6,4,253.465,0,0,1,0,31,3,0
351,28,6,4,236.629,0,0,1,0,31,3,0
509,26,6,4,284.853,0,0,1,0,23,3,1
531,13,3,4,284.853,0,1,0,2,24,3,0
40,23,3,1,241.476,0,0,0,0,21,3,0
42,23,3,1,241.476,0,0,1,0,31,3,1
274,9,2,1,294.217,0,0,1,0,23,3,1
86,22,2,4,306.345,0,2,0,2,25,3,1
297,22,2,4,265.017,0,3,1,0,25,3,1
312,0,3,4,265.017,1,1,1,1,25,3,0
338,23,5,4,284.031,0,0,1,0,31,3,0
502,23,2,1,261.756,0,0,1,0,31,3,1
287,7,2,4,294.217,0,1,1,1,25,3,1
282,28,6,1,294.217,0,4,1,0,23,3,1
498,23,3,1,261.756,0,2,1,0,25,3,0
352,13,3,2,236.629,0,1,1,0,38,3,1
295,1,2,4,265.017,0,0,0,0,19,3,1
76,28,3,4,253.465,0,1,0,2,24,3,0
334,10,4,4,284.031,0,4,1,0,23,3,1
101,26,4,4,261.306,0,1,0,1,29,3,1
62,23,3,4,253.465,0,0,1,0,31,3,0
315,7,4,4,265.017,0,0,0,0,19,3,1
349,25,3,4,236.629,0,0,0,0,28,3,1
329,28,5,4,284.031,0,0,1,0,31,3,0
73,23,4,4,253.465,0,1,0,2,24,3,0
51,0,2,4,241.476,1,1,0,2,24,3,0
564,18,2,4,280.549,0,1,1,8,21,3,1
517,23,3,4,284.853,0,3,1,0,25,3,0
46,23,3,1,241.476,0,0,1,0,31,3,0
67,23,6,4,253.465,0,1,0,2,24,3,0
341,28,2,4,236.629,0,0,1,0,31,3,0
44,23,4,1,241.476,0,2,1,0,25,3,0
319,6,3,4,284.031,0,0,1,0,31,3,1
72,23,4,4,253.465,0,0,1,0,31,3,1
501,23,6,1,261.756,0,2,0,1,32,3,0
102,23,5,4,261.306,0,1,0,2,24,3,0
332,13,2,4,284.031,0,0,1,0,23,3,1
325,0,3,4,284.031,1,0,0,0,25,3,0
546,8,3,4,268.519,0,0,0,0,28,3,1
510,14,4,4,284.853,0,0,0,2,36,3,0
110,27,6,4,261.306,0,0,0,0,28,3,0
568,23,2,4,280.549,0,1,0,2,24,3,0
104,19,3,4,261.306,0,0,0,0,28,3,1
84,23,5,4,306.345,0,1,1,1,25,3,1
551,0,5,4,268.519,1,1,1,0,38,3,0
80,23,5,4,306.345,0,0,1,0,31,3,0
320,28,6,4,284.031,0,4,1,0,23,3,0
63,23,3,4,253.465,0,0,0,0,28,3,0
527,23,2,4,284.853,0,2,0,2,25,3,1
504,23,2,1,261.756,0,0,0,0,19,3,0
278,13,4,1,294.217,0,0,1,0,31,3,1
79,28,6,4,253.465,0,4,1,0,23,3,0
530,0,2,4,284.853,1,1,0,2,24,3,0
87,14,2,4,306.345,0,1,1,1,25,3,1
291,26,2,4,265.017,0,2,1,1,30,3,1
511,28,4,4,284.853,0,1,1,1,25,3,0
83,21,5,4,306.345,0,2,0,0,22,3,1
342,23,2,4,236.629,0,1,0,1,29,3,0
539,23,6,4,268.519,0,1,0,2,24,3,1
43,19,3,1,241.476,0,1,1,0,38,3,1
302,28,6,4,265.017,0,4,1,0,23,3,0
93,28,6,4,306.345,0,4,1,0,23,3,1
330,13,6,4,284.031,0,0,1,0,23,3,1
547,23,3,4,268.519,0,1,0,2,24,3,0
514,23,6,4,284.853,0,1,1,1,25,3,0
552,23,6,4,268.519,0,1,0,2,24,3,0
89,6,6,4,306.345,0,2,1,0,25,3,1
497,28,3,1,261.756,0,0,0,0,28,3,0
277,0,3,1,294.217,1,0,1,0,23,3,0
74,19,5,4,253.465,0,4,1,0,23,3,1
47,23,5,1,241.476,0,1,1,1,25,3,1
307,28,3,4,265.017,0,1,1,1,25,3,1
288,13,2,4,294.217,0,0,1,0,31,3,1
280,23,5,1,294.217,0,0,1,0,31,3,0
543,14,5,4,268.519,0,1,0,2,24,3,0
558,13,6,4,280.549,0,0,0,0,19,3,0
286,28,6,4,294.217,0,1,1,1,25,3,0
48,22,6,1,241.476,0,4,1,0,23,3,1
53,23,3,4,241.476,0,0,0,0,28,3,0
99,19,3,4,261.306,0,0,0,0,28,3,1
535,28,6,4,268.519,0,0,1,0,31,3,0
328,25,5,4,284.031,0,1,0,1,29,3,0
57,23,4,4,241.476,0,0,1,0,31,3,0
500,23,6,1,261.756,0,0,0,0,19,3,1
112,23,6,2,261.306,0,1,0,2,24,3,0
540,22,3,4,268.519,0,1,1,4,27,3,1
331,12,6,4,284.031,0,1,1,1,25,3,1
542,13,5,4,268.519,0,0,0,0,28,3,0
550,14,5,4,268.519,0,2,0,1,32,3,1
103,26,6,4,261.306,0,4,1,0,23,3,1
94,28,2,4,306.345,0,2,0,1,32,3,0
304,23,2,4,265.017,0,1,1,0,38,3,0
90,23,4,4,306.345,0,1,0,2,24,3,0
528,6,2,4,284.853,0,0,0,0,25,3,1
508,11,5,4,284.853,0,0,0,0,25,3,0
529,10,2,4,284.853,0,2,0,1,32,3,1
523,10,5,4,284.853,0,3,1,0,25,3,1
566,23,3,4,280.549,0,1,0,2,24,3,0
541,28,4,4,268.519,0,1,1,1,25,3,0
503,23,4,1,261.756,0,1,0,2,24,3,0
98,23,3,4,261.306,0,2,0,1,32,3,0
88,23,4,4,306.345,0,1,0,2,24,3,0
285,0,5,4,294.217,1,1,1,0,38,3,0
61,23,6,4,241.476,0,4,1,0,23,3,1
97,23,5,4,306.345,0,1,1,1,25,3,0
537,24,4,4,268.519,0,2,1,1,30,3,1
357,19,2,2,236.629,0,2,1,1,30,3,1
562,18,6,4,280.549,0,2,0,0,22,3,0
521,1,4,4,284.853,0,2,0,1,22,3,0
525,10,6,4,284.853,0,3,1,0,25,3,1
326,18,4,4,284.031,0,1,0,1,29,3,0
77,26,4,4,253.465,0,2,1,1,30,3,1
354,26,4,2,236.629,0,4,1,0,23,3,1
555,13,3,4,280.549,0,0,1,0,31,3,1
41,23,2,1,241.476,0,0,0,0,28,3,1
92,13,6,4,306.345,0,1,0,2,24,3,0
346,28,5,4,236.629,0,0,1,0,31,3,0
327,11,4,4,284.031,0,0,0,0,28,3,0
348,23,3,4,236.629,0,0,0,0,19,3,0
300,0,4,4,265.017,1,1,1,0,38,3,0
296,7,2,4,265.017,0,0,0,0,28,3,0
313,0,3,4,265.017,1,0,1,0,22,3,0
284,28,5,4,294.217,0,1,1,0,31,3,0
536,9,3,4,268.519,0,0,0,0,28,3,1
271,23,6,1,294.217,0,0,1,0,31,3,0
548,0,3,4,268.519,1,1,1,1,25,3,0
544,28,2,4,268.519,0,0,1,0,31,3,0
318,23,2,4,284.031,0,2,0,1,32,3,0
569,18,3,2,280.549,0,2,1,0,25,3,1
60,23,6,4,241.476,0,0,1,0,31,3,0
522,23,4,4,284.853,0,1,1,1,25,3,0
111,19,6,2,261.306,0,0,1,0,23,3,1
303,0,6,4,265.017,1,1,1,0,38,3,0
54,0,3,4,241.476,1,2,1,1,30,3,0
289,24,2,4,265.017,0,2,1,1,30,3,1
513,23,5,4,284.853,0,0,0,2,36,3,0
299,1,4,4,265.017,0,0,0,0,19,3,1
